what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854906064
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854906210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854906319
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399854907123
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399854907275
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854915949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854923614
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854925058
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399854925071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854925232
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399854925245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399854925245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854928415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854930090
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399854930100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399854930100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854949823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854952859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854957398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854964629
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854964785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854964874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854967273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854972382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399854976306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399854983495
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854985154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854994657
started,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1399855003381
error,log,,,"Current file is not a match for the given config.",1399855052796
error,log,,,"Current file is not a match for the given config.",1399855052797
error,log,,,"Current file is not a match for the given config.",1399855052798
error,log,,,"Current file is not a match for the given config.",1399855052799
error,log,,,"Current file is not a match for the given config.",1399855052799
error,log,,,"Current file is not a match for the given config.",1399855052800
error,log,,,"Current file is not a match for the given config.",1399855052801
error,log,,,"Current file is not a match for the given config.",1399855052802
error,log,,,"Current file is not a match for the given config.",1399855052802
error,log,,,"Current file is not a match for the given config.",1399855052803
error,log,,,"Current file is not a match for the given config.",1399855052804
error,log,,,"Current file is not a match for the given config.",1399855052805
error,log,,,"Current file is not a match for the given config.",1399855052805
error,log,,,"Current file is not a match for the given config.",1399855052806
error,log,,,"Current file is not a match for the given config.",1399855052807
error,log,,,"Current file is not a match for the given config.",1399855052807
error,log,,,"Current file is not a match for the given config.",1399855052808
error,log,,,"Current file is not a match for the given config.",1399855052809
error,log,,,"Current file is not a match for the given config.",1399855052809
error,log,,,"Current file is not a match for the given config.",1399855052810
error,log,,,"Current file is not a match for the given config.",1399855052811
error,log,,,"Current file is not a match for the given config.",1399855052812
error,log,,,"Current file is not a match for the given config.",1399855052812
error,log,,,"Current file is not a match for the given config.",1399855052813
error,log,,,"Current file is not a match for the given config.",1399855052813
error,log,,,"Current file is not a match for the given config.",1399855052814
error,log,,,"Current file is not a match for the given config.",1399855052815
error,log,,,"Current file is not a match for the given config.",1399855052815
error,log,,,"Current file is not a match for the given config.",1399855052816
error,log,,,"Current file is not a match for the given config.",1399855052817
error,log,,,"Current file is not a match for the given config.",1399855052817
error,log,,,"Current file is not a match for the given config.",1399855052818
error,log,,,"Current file is not a match for the given config.",1399855052819
error,log,,,"Current file is not a match for the given config.",1399855052819
error,log,,,"Current file is not a match for the given config.",1399855052820
error,log,,,"Current file is not a match for the given config.",1399855052821
error,log,,,"Current file is not a match for the given config.",1399855052822
error,log,,,"Current file is not a match for the given config.",1399855052822
error,log,,,"Current file is not a match for the given config.",1399855052823
error,log,,,"Current file is not a match for the given config.",1399855052823
error,log,,,"Current file is not a match for the given config.",1399855052824
error,log,,,"Current file is not a match for the given config.",1399855052825
error,log,,,"Current file is not a match for the given config.",1399855052826
error,log,,,"Current file is not a match for the given config.",1399855052826
error,log,,,"Current file is not a match for the given config.",1399855052827
error,log,,,"Current file is not a match for the given config.",1399855052828
error,log,,,"Current file is not a match for the given config.",1399855052828
error,log,,,"Current file is not a match for the given config.",1399855052829
error,log,,,"Current file is not a match for the given config.",1399855052830
error,log,,,"Current file is not a match for the given config.",1399855052831
error,log,,,"Current file is not a match for the given config.",1399855052831
error,log,,,"Current file is not a match for the given config.",1399855052832
error,log,,,"Current file is not a match for the given config.",1399855052833
error,log,,,"Current file is not a match for the given config.",1399855052834
error,log,,,"Current file is not a match for the given config.",1399855052834
error,log,,,"Current file is not a match for the given config.",1399855052835
error,log,,,"Current file is not a match for the given config.",1399855052836
error,log,,,"Current file is not a match for the given config.",1399855052837
error,log,,,"Current file is not a match for the given config.",1399855052837
error,log,,,"Current file is not a match for the given config.",1399855052838
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855052931
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855052993
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1399855053096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855053171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1399855053385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855056244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855069991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1399855071417
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1399855072032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855073068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855079348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855086469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855098762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855102937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855104748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855129315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399855139300
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1399855145946
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1399855149773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855197222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855201947
