what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1400279820151
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1400279820152
started,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1400279820153
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1400279820156
started,bundle,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms",1400279820157
started,bundle,com.android.ide.eclipse.traceview,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.traceview",1400279820157
os,sysinfo,,,"win32",1400279820163
arch,sysinfo,,,"x86_64",1400279820163
ws,sysinfo,,,"win32",1400279820163
locale,sysinfo,,,"en_US",1400279820163
processors,sysinfo,,,"4",1400279820163
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400279820163
java.runtime.version,sysinfo,,,"1.7.0_55-b13",1400279820163
java.specification.name,sysinfo,,,"Java Platform API Specification",1400279820163
java.specification.vendor,sysinfo,,,"Oracle Corporation",1400279820163
java.specification.version,sysinfo,,,"1.7",1400279820163
java.vendor,sysinfo,,,"Oracle Corporation",1400279820163
java.version,sysinfo,,,"1.7.0_55",1400279820163
java.vm.info,sysinfo,,,"mixed mode",1400279820163
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1400279820163
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400279820163
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1400279820163
java.vm.specification.version,sysinfo,,,"1.7",1400279820163
java.vm.vendor,sysinfo,,,"Oracle Corporation",1400279820163
java.vm.version,sysinfo,,,"24.55-b03",1400279820163
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1400279820191
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1400279820347
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1400279820877
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1400279821167
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1400279821754
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1400279821760
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1400279821898
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1400279822170
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1400279822588
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1400279822764
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1400279823091
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1400279823221
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1400279823416
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1400279824407
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1400279824465
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1400279824477
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1400279824494
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1400279824576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400279892641
