what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1399852438621
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1399852438622
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1399852438625
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1399852438627
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1399852438630
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1399852438633
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1399852438635
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1399852438640
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1399852438642
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1399852438645
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1399852438680
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1399852438683
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1399852438684
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1399852438686
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1399852438687
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1399852438690
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1399852438691
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1399852438693
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1399852438694
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1399852438715
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1399852438716
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1399852438717
os,sysinfo,,,"win32",1399852438722
arch,sysinfo,,,"x86_64",1399852438722
ws,sysinfo,,,"win32",1399852438722
locale,sysinfo,,,"en_US",1399852438722
processors,sysinfo,,,"4",1399852438722
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1399852438722
java.runtime.version,sysinfo,,,"1.7.0_55-b13",1399852438722
java.specification.name,sysinfo,,,"Java Platform API Specification",1399852438722
java.specification.vendor,sysinfo,,,"Oracle Corporation",1399852438722
java.specification.version,sysinfo,,,"1.7",1399852438722
java.vendor,sysinfo,,,"Oracle Corporation",1399852438722
java.version,sysinfo,,,"1.7.0_55",1399852438722
java.vm.info,sysinfo,,,"mixed mode",1399852438722
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1399852438722
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1399852438722
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1399852438722
java.vm.specification.version,sysinfo,,,"1.7",1399852438722
java.vm.vendor,sysinfo,,,"Oracle Corporation",1399852438722
java.vm.version,sysinfo,,,"24.55-b03",1399852438722
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1399852438728
started,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1399852439869
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1399852440150
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1399852440155
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1399852440161
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1399852440232
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1399852441473
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1399852442171
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1399852442863
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1399852443325
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1399852443729
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1399852443757
